mass (g),year,reclat,reclong
3719,1/1/06 0:00,41.11667,45
200000,1/1/49 0:00,55.78333,61.36667
1100000,1/1/98 0:00,42.25,59.2
4460,1/1/20 0:00,37.05,138.38333
5,01/01/1860 12:00:00 AM,29.68333,78.38333
23,1/1/77 0:00,44.51667,39.3
45000,1/1/14 0:00,10.83333,76.03333
4047,1/1/32 0:00,55.2,75.33333
45000,01/01/1886 12:00:00 AM,32.03333,130.63333
2800,01/01/1879 12:00:00 AM,47.08333,1.75
399,01/01/1878 12:00:00 AM,20.66667,-101.28333
2000,1/1/24 0:00,-37.33333,-61.53333
45000,1/1/85 0:00,-31.23333,-58.16667
3833,01/01/1871 12:00:00 AM,44.28333,5.58333
900,1/1/55 0:00,26.78333,82.71667
37000,01/01/1803 12:00:00 AM,48.76667,0.63333
212.5,1/1/10 0:00,21.86667,76.03333
372,01/01/1887 12:00:00 AM,24.45,78.56667
51700,01/01/1872 12:00:00 AM,47.7,1.06667
7000,01/01/1897 12:00:00 AM,43.75,5.11667
2300,1/1/47 0:00,58.85,16.73333
1282,1/1/86 0:00,46.24167,126.19611
7000,1/1/25 0:00,47.75,16.23333
14250,1/1/87 0:00,33.13333,115.16667
1060,01/01/1830 12:00:00 AM,51.9,-1.11667
800,1/1/38 0:00,52.45,51.56667
3000,01/01/1845 12:00:00 AM,47.16667,0.43333
780,01/01/1845 12:00:00 AM,48.53333,-0.86667
51500,1/1/43 0:00,35.88333,-99.33333
460,1/1/12 0:00,-25.66667,28.36667
271.4,1/1/99 0:00,52.66667,-6.96667
877,1/1/07 0:00,34.58333,-87.5
700,01/01/1900 12:00:00 AM,52.26667,32.85
125,01/01/1857 12:00:00 AM,48.35,3.25
2000,01/01/1896 12:00:00 AM,50.36667,4.73333
4000,1/1/73 0:00,-26.15,26.18333
6862,1/1/30 0:00,56.65,15.86667
50000,01/01/1813 12:00:00 AM,52.56667,-8.78333
1862,01/01/1854 12:00:00 AM,52.75,12.9
498,1/1/78 0:00,31.63333,118.98333
12800,01/01/1808 12:00:00 AM,50.2,14.85
491,01/01/1839 12:00:00 AM,37.91667,-92.08333
5213,01/01/1820 12:00:00 AM,56,26.43333
1000,01/01/1868 12:00:00 AM,29.53333,71.8
40000,1/1/94 0:00,26.96556,72.62667
329.7,1/1/10 0:00,38.70066,-77.21163
25,01/01/1894 12:00:00 AM,38,-0.83333
17000,1/1/70 0:00,36.00833,-95.15
1300,1/1/77 0:00,38.25,-85.75
59000,1/1/35 0:00,52,19.91667
9241,1/1/26 0:00,24.95,75.15
3500,01/01/1768 12:00:00 AM,47.85,0.48333
340,01/01/1869 12:00:00 AM,32.03333,-84.76667
2520,1/1/80 0:00,24.8,103.3
11000,01/01/1889 12:00:00 AM,56.21667,13.03333
885,01/01/1813 12:00:00 AM,61.2,27.7
